=== xsim kat_sim -R ===

****** xsim v2025.2 (64-bit)
  **** SW Build 6299465 on Fri Nov 14 12:34:56 MST 2025
  **** IP Build 6300035 on Fri Nov 14 10:48:45 MST 2025
  **** SharedData Build 6298862 on Thu Nov 13 04:50:51 MST 2025
  **** Start of session at: Tue Aug  4 12:30:33 2026
    ** Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
    ** Copyright 2022-2025 Advanced Micro Devices, Inc. All Rights Reserved.

source xsim.dir/kat_sim/xsim_script.tcl
# xsim {kat_sim} -autoloadwcfg -runall
Time resolution is 1 ps
run -all
BANKPOP t=1390000 word=4513699888264402 acclen=72 vb=1
BANKPOP t=1470000 word=604628d341b0d386 acclen=68 vb=0
BANKPOP t=1550000 word=52285402231828c2 acclen=64 vb=1
BANKPOP t=1640000 word=26205087040d8103 acclen=72 vb=0
BANKPOP t=1720000 word=202a461c8e128422 acclen=68 vb=1
BANKPOP t=1790000 word=1090112938484503 acclen=64 vb=0
BANKPOP t=1880000 word=480885b319504080 acclen=72 vb=0
BANKPOP t=1970000 word=896088049004cc48 acclen=68 vb=1
BANKPOP t=2050000 word=6887190a052289a4 acclen=64 vb=1
BANKPOP t=2140000 word=22544104a02a3251 acclen=72 vb=0
BANKPOP t=2220000 word=021041042940e34e acclen=68 vb=1
BANKPOP t=2300000 word=7218e169a2db7013 acclen=64 vb=0
BANKPOP t=3000000 word=96226602192636c4 acclen=72 vb=0
BANKPOP t=3080000 word=246e02c12584980d acclen=68 vb=0
BANKPOP t=3160000 word=09188a70b8403123 acclen=64 vb=1
BANKPOP t=3250000 word=b70902124c68101c acclen=72 vb=1
BANKPOP t=3320000 word=c04d86010c845928 acclen=68 vb=0
BANKPOP t=3410000 word=7026096d84da6242 acclen=64 vb=1
BANKPOP t=3490000 word=38512544e26e168c acclen=72 vb=0
BANKPOP t=3590000 word=909139082584c268 acclen=68 vb=1
BANKPOP t=3660000 word=0211036646a30488 acclen=64 vb=0
BANKPOP t=3760000 word=925024490264c802 acclen=72 vb=0
BANKPOP t=3840000 word=8c6148e481952029 acclen=68 vb=0
BANKPOP t=3940000 word=29b81c2d18e30848 acclen=64 vb=0
BANKPOP t=4640000 word=104845a2146ca242 acclen=72 vb=0
BANKPOP t=4720000 word=5884482244150b71 acclen=68 vb=0
BANKPOP t=4800000 word=30b50a6997182042 acclen=64 vb=1
BANKPOP t=4890000 word=36612c20dc0c30d3 acclen=72 vb=1
BANKPOP t=4980000 word=132488e48e331402 acclen=68 vb=0
BANKPOP t=5060000 word=4c321328060144b0 acclen=64 vb=0
BANKPOP t=5160000 word=32d08da8c94d3513 acclen=72 vb=0
BANKPOP t=5240000 word=c250240a72110a2d acclen=68 vb=1
BANKPOP t=5310000 word=6e232310a70a4980 acclen=64 vb=0
BANKPOP t=5420000 word=44496c96c841b4db acclen=72 vb=0
BANKPOP t=5500000 word=6469280920101821 acclen=68 vb=0
BANKPOP t=5590000 word=6e12c06c37180918 acclen=64 vb=0
BANKPOP t=6290000 word=b64b80150b8c80a2 acclen=72 vb=1
BANKPOP t=6360000 word=5c84a04341b2146c acclen=68 vb=0
BANKPOP t=6440000 word=0dc8a18e02035038 acclen=64 vb=0
BANKPOP t=6530000 word=330084209a0e121a acclen=72 vb=1
BANKPOP t=6600000 word=0200150805a29001 acclen=68 vb=0
BANKPOP t=6680000 word=08041906489011a2 acclen=64 vb=0
BANKPOP t=6770000 word=428a00b81c9198c3 acclen=72 vb=0
BANKPOP t=6850000 word=6201a0014048e265 acclen=68 vb=0
BANKPOP t=6940000 word=24380828321b8422 acclen=64 vb=1
BANKPOP t=7030000 word=95141135036e4509 acclen=72 vb=0
BANKPOP t=7110000 word=037234515120a180 acclen=68 vb=0
BANKPOP t=7190000 word=0244c17132610592 acclen=64 vb=0
BANKPOP t=7890000 word=a0488e15099000c4 acclen=72 vb=0
BANKPOP t=7970000 word=0229b05271b80088 acclen=68 vb=0
BANKPOP t=8050000 word=0d211a8996522e28 acclen=64 vb=1
BANKPOP t=8140000 word=008c7126642da211 acclen=72 vb=1
BANKPOP t=8220000 word=981130e06226c012 acclen=68 vb=0
BANKPOP t=8300000 word=6c30044cc2614436 acclen=64 vb=0
BANKPOP t=8390000 word=309a25c20c4e18e0 acclen=72 vb=0
BANKPOP t=8490000 word=ca60c8d22488e422 acclen=68 vb=0
BANKPOP t=8570000 word=6e36640446128cb8 acclen=64 vb=0
BANKPOP t=8660000 word=228a89345b2dc818 acclen=72 vb=1
BANKPOP t=8740000 word=0481841330b0116a acclen=68 vb=1
BANKPOP t=8810000 word=2c22e409b4623111 acclen=64 vb=0
BANKPOP t=9520000 word=c2da70030a2d204b acclen=72 vb=1
BANKPOP t=9600000 word=0388969c8a30e161 acclen=68 vb=0
BANKPOP t=9680000 word=00045c0d24416e45 acclen=64 vb=0
BANKPOP t=9770000 word=251c4a12e04a324c acclen=72 vb=0
BANKPOP t=9860000 word=c22c98904836840a acclen=68 vb=1
BANKPOP t=9940000 word=0896cb5248c344b4 acclen=64 vb=1
BANKPOP t=10040000 word=b924262523283454 acclen=72 vb=1
BANKPOP t=10110000 word=1864c8e270371851 acclen=68 vb=1
BANKPOP t=10190000 word=08a6d98d42c028c6 acclen=64 vb=0
BANKPOP t=10290000 word=c2ca61b4000e30a3 acclen=72 vb=1
BANKPOP t=10360000 word=d12cc4cc24324a00 acclen=68 vb=0
BANKPOP t=10450000 word=09b2098210144624 acclen=64 vb=0
BANKPOP t=11160000 word=c858661254283289 acclen=72 vb=1
BANKPOP t=11230000 word=d90196604926c269 acclen=68 vb=0
BANKPOP t=11320000 word=2c445951c0106034 acclen=64 vb=0
BANKPOP t=11430000 word=c69b8d000369c281 acclen=72 vb=1
BANKPOP t=11500000 word=e30a44d82e406440 acclen=68 vb=0
BANKPOP t=11580000 word=4622433242d32514 acclen=64 vb=1
BANKPOP t=11680000 word=c48a88249469a209 acclen=72 vb=1
BANKPOP t=11760000 word=1c11945b1141048d acclen=68 vb=1
BANKPOP t=11830000 word=4cb51a61a4a48633 acclen=64 vb=0
BANKPOP t=11930000 word=972264b6220e2291 acclen=72 vb=1
BANKPOP t=12010000 word=6311b4e12e384368 acclen=68 vb=0
BANKPOP t=12090000 word=2944e428c0528590 acclen=64 vb=0
BANKPOP t=12790000 word=468025060166265a acclen=72 vb=1
BANKPOP t=12870000 word=105204942ca40461 acclen=68 vb=0
BANKPOP t=12960000 word=2624180d05012408 acclen=64 vb=1
BANKPOP t=13050000 word=b4a02d044b843018 acclen=72 vb=0
BANKPOP t=13140000 word=224608c390b4d400 acclen=68 vb=0
BANKPOP t=13220000 word=6134d371491431b1 acclen=64 vb=1
BANKPOP t=13320000 word=440420a100650248 acclen=72 vb=1
BANKPOP t=13400000 word=6130c2844d011185 acclen=68 vb=1
BANKPOP t=13480000 word=45b22200460389c2 acclen=64 vb=0
BANKPOP t=13570000 word=340b4846182da093 acclen=72 vb=1
BANKPOP t=13640000 word=8864a0c884a25c88 acclen=68 vb=0
BANKPOP t=13730000 word=6a491b21981280a4 acclen=64 vb=0
BANKPOP t=44350000 word=b16b49aa217d91d8 acclen=80 vb=1
BANKPOP t=44370000 word=23940acb95b2603c acclen=96 vb=1
BANKPOP t=44380000 word=6af428989739a022 acclen=72 vb=1
BANKPOP t=44400000 word=06bca2ebdee7a400 acclen=88 vb=1
BANKPOP t=44410000 word=c16bfd937dd91652 acclen=64 vb=1
BANKPOP t=44430000 word=3c96183f38dd87cd acclen=80 vb=1
BANKPOP t=44450000 word=80f01db571ddcfe5 acclen=96 vb=1
BANKPOP t=44460000 word=aeaf12a55e41f186 acclen=72 vb=1
BANKPOP t=44480000 word=3a2d1417e516ce38 acclen=88 vb=1
BANKPOP t=44490000 word=7956709694d3ede3 acclen=64 vb=1
BANKPOP t=44510000 word=0714fa3fcca96a46 acclen=80 vb=1
BANKPOP t=44530000 word=eca41cfd4462c51d acclen=96 vb=1
BANKPOP t=44540000 word=2fc11f5f5d40a1a5 acclen=72 vb=1
BANKPOP t=44560000 word=1b029b4bccca5e3c acclen=88 vb=1
BANKPOP t=44570000 word=00670deac40172ca acclen=64 vb=1
BANKPOP t=44590000 word=4f160707d5bbb799 acclen=80 vb=1
BANKPOP t=44610000 word=e7c60b996955393f acclen=96 vb=1
BANKPOP t=44620000 word=1d62b07ab32404e3 acclen=72 vb=1
BANKPOP t=44640000 word=7056b196594e95b2 acclen=88 vb=1
BANKPOP t=44650000 word=04e497143ae04cdc acclen=64 vb=1
BANKPOP t=44670000 word=e265e0f126c3a465 acclen=80 vb=1
BANKPOP t=44690000 word=9311baad111adfbf acclen=96 vb=1
BANKPOP t=44700000 word=b1b806a0ee882752 acclen=72 vb=1
BANKPOP t=44720000 word=56c974b1e16a29ab acclen=88 vb=1
BANKPOP t=44730000 word=4c297402185595ae acclen=64 vb=1
BANKPOP t=44750000 word=e1aaf2ef4ecb19dc acclen=80 vb=1
BANKPOP t=44770000 word=8dcf7c3ce0b10a26 acclen=96 vb=1
BANKPOP t=44780000 word=32ea7ea62bf46d8a acclen=72 vb=1
BANKPOP t=44800000 word=06fb219831e8e928 acclen=88 vb=1
BANKPOP t=44810000 word=791d5e1b06718c53 acclen=64 vb=1
BANKPOP t=44830000 word=8f184f2a15164827 acclen=80 vb=1
BANKPOP t=44850000 word=d4d0de6ad84397e3 acclen=96 vb=1
BANKPOP t=44860000 word=529605ba5d0d02e9 acclen=72 vb=1
BANKPOP t=44880000 word=6e1e81502d6a8e1e acclen=88 vb=1
BANKPOP t=44890000 word=0a404d5bd3e09a98 acclen=64 vb=1
BANKPOP t=44910000 word=f3f63231885c4c4a acclen=80 vb=1
BANKPOP t=44930000 word=7427cb7e51f6d3db acclen=96 vb=1
BANKPOP t=44940000 word=bf1c14c17f892459 acclen=72 vb=1
BANKPOP t=44960000 word=302d1e874edd4cec acclen=88 vb=1
BANKPOP t=44970000 word=eeca82d34356e92a acclen=64 vb=0
BANKPOP t=45100000 word=686764f0f1d3def0 acclen=80 vb=1
BANKPOP t=45120000 word=6c79c4ee7e2918ab acclen=96 vb=1
BANKPOP t=45130000 word=7b5bd5214f96a5f8 acclen=72 vb=1
BANKPOP t=45150000 word=74ae1f3b8417113c acclen=88 vb=1
BANKPOP t=45160000 word=82e61e18026349d8 acclen=64 vb=1
BANKPOP t=45180000 word=61be138b85e776d0 acclen=80 vb=1
BANKPOP t=45200000 word=f351fd5f63b2db2e acclen=96 vb=1
BANKPOP t=45210000 word=c315100f89404196 acclen=72 vb=1
BANKPOP t=45230000 word=166ec7b0dffb3f2e acclen=88 vb=1
BANKPOP t=45240000 word=1e1ef9352b126931 acclen=64 vb=1
BANKPOP t=45260000 word=c70dc42dc9b9c529 acclen=80 vb=1
BANKPOP t=45280000 word=37b93249a47afb38 acclen=96 vb=1
BANKPOP t=45290000 word=ee11e7d7ed03faca acclen=72 vb=1
BANKPOP t=45310000 word=8139ec3480829ab1 acclen=88 vb=1
BANKPOP t=45320000 word=34f7c6f6830395a2 acclen=64 vb=1
BANKPOP t=45340000 word=7f1db7398de6ffbc acclen=80 vb=1
BANKPOP t=45360000 word=0a9c29e2e435fe55 acclen=96 vb=1
BANKPOP t=45370000 word=7b1fb46db640dc9e acclen=72 vb=1
BANKPOP t=45390000 word=b55003de621134ca acclen=88 vb=1
BANKPOP t=45400000 word=990dae1a9a0b724e acclen=64 vb=1
BANKPOP t=45420000 word=e19eb652d0580adb acclen=80 vb=1
BANKPOP t=45440000 word=c1d8df9b432702a3 acclen=96 vb=1
BANKPOP t=45450000 word=bd9c1f69b4befdd4 acclen=72 vb=1
BANKPOP t=45470000 word=2b780ecb472bb65b acclen=88 vb=1
BANKPOP t=45480000 word=5b253c7b78e210f3 acclen=64 vb=1
BANKPOP t=45500000 word=481f757c5c8c7067 acclen=80 vb=1
BANKPOP t=45520000 word=3b4990c2697079bb acclen=96 vb=1
BANKPOP t=45530000 word=45b117ea721056b8 acclen=72 vb=1
BANKPOP t=45550000 word=a52f299e20076bd2 acclen=88 vb=1
BANKPOP t=45560000 word=b47d2d1ba3ca76ed acclen=64 vb=1
BANKPOP t=45580000 word=3ea1cd446d09db5d acclen=80 vb=1
BANKPOP t=45600000 word=c31d527b54e303cd acclen=96 vb=1
BANKPOP t=45610000 word=05b488a2667de20c acclen=72 vb=1
BANKPOP t=45630000 word=338ad30a8d590197 acclen=88 vb=1
BANKPOP t=45640000 word=d925a02b49bc0e13 acclen=64 vb=1
BANKPOP t=45660000 word=373b8711bde8583c acclen=80 vb=1
BANKPOP t=45680000 word=ea83fe6690b3b1ad acclen=96 vb=1
BANKPOP t=45690000 word=4758f7046bae45d6 acclen=72 vb=1
BANKPOP t=45710000 word=20a9ed6ad93a160c acclen=88 vb=1
BANKPOP t=45720000 word=bbef74c2e9c62084 acclen=64 vb=0
BANKPOP t=45850000 word=d26036cbe1633585 acclen=80 vb=1
BANKPOP t=45870000 word=8a88a251b55bf875 acclen=96 vb=1
BANKPOP t=45880000 word=d4651f32af5af01e acclen=72 vb=1
BANKPOP t=45900000 word=4b6ac793dcda15eb acclen=88 vb=1
BANKPOP t=45910000 word=829265554fc3d052 acclen=64 vb=1
BANKPOP t=45930000 word=7452e6bd0e206849 acclen=80 vb=1
BANKPOP t=45950000 word=28e06d0acbe02707 acclen=96 vb=1
BANKPOP t=45960000 word=5b1f6a49cd82cd0f acclen=72 vb=1
BANKPOP t=45980000 word=1f09c1a37b6595af acclen=88 vb=1
BANKPOP t=45990000 word=34fc77be7ebf36cc acclen=64 vb=1
BANKPOP t=46010000 word=ac927ea038a49e88 acclen=80 vb=1
BANKPOP t=46030000 word=9a3dd9eec853e4ea acclen=96 vb=1
BANKPOP t=46040000 word=c96ed0b8a32ce870 acclen=72 vb=1
BANKPOP t=46060000 word=661b498baf5edbea acclen=88 vb=1
BANKPOP t=46070000 word=243a61c8b803395b acclen=64 vb=1
BANKPOP t=46090000 word=8b67445ff3e5a607 acclen=80 vb=1
BANKPOP t=46110000 word=096175ba3b663519 acclen=96 vb=1
BANKPOP t=46120000 word=a2f7f02e503d2e6c acclen=72 vb=1
BANKPOP t=46140000 word=c01600285222a545 acclen=88 vb=1
BANKPOP t=46150000 word=24ea3ad9053b4eb7 acclen=64 vb=1
BANKPOP t=46170000 word=3414c395d5a4ebca acclen=80 vb=1
BANKPOP t=46190000 word=3a4defb5f5469bd9 acclen=96 vb=1
BANKPOP t=46200000 word=cd5db97edd5e623a acclen=72 vb=1
BANKPOP t=46220000 word=e5c599969428c827 acclen=88 vb=1
BANKPOP t=46230000 word=4ee1192651a8d767 acclen=64 vb=1
BANKPOP t=46250000 word=216765ca471c6ecc acclen=80 vb=1
BANKPOP t=46270000 word=839b946bfc11121d acclen=96 vb=1
BANKPOP t=46280000 word=7b166217b47c3c78 acclen=72 vb=1
BANKPOP t=46300000 word=9e3e85fd35e960f9 acclen=88 vb=1
BANKPOP t=46310000 word=b4dfe875cbecbbd3 acclen=64 vb=1
BANKPOP t=46330000 word=30dbdc6645855fe3 acclen=80 vb=1
BANKPOP t=46350000 word=ebe6226c1bd5b00e acclen=96 vb=1
BANKPOP t=46360000 word=e22f5aaa0d03851d acclen=72 vb=1
BANKPOP t=46380000 word=60087945277cccbb acclen=88 vb=1
BANKPOP t=46390000 word=104238a03d0348ad acclen=64 vb=1
BANKPOP t=46410000 word=b14b529f7361d151 acclen=80 vb=1
BANKPOP t=46430000 word=647fa523062516c7 acclen=96 vb=1
BANKPOP t=46440000 word=3765c649df0625cb acclen=72 vb=1
BANKPOP t=46460000 word=17008da6d06ca4c2 acclen=88 vb=1
BANKPOP t=46470000 word=123537cfa4cb33bb acclen=64 vb=0
BANKPOP t=46600000 word=67c868370308d291 acclen=80 vb=1
BANKPOP t=46620000 word=4682e660a916e099 acclen=96 vb=1
BANKPOP t=46630000 word=a87d086110fffb70 acclen=72 vb=1
BANKPOP t=46650000 word=de39021177f974fb acclen=88 vb=1
BANKPOP t=46660000 word=ae4bfca486fc8cd4 acclen=64 vb=1
BANKPOP t=46680000 word=43e30ceb5af020f2 acclen=80 vb=1
BANKPOP t=46700000 word=aa8f38201dd3d757 acclen=96 vb=1
BANKPOP t=46710000 word=e2b993f5972d7f30 acclen=72 vb=1
BANKPOP t=46730000 word=32049e329c2a3287 acclen=88 vb=1
BANKPOP t=46740000 word=f21cc3aa79ea2285 acclen=64 vb=1
BANKPOP t=46760000 word=76a1d9ab34b35f76 acclen=80 vb=1
BANKPOP t=46780000 word=3c69fa680955a34d acclen=96 vb=1
BANKPOP t=46790000 word=28027081265248b8 acclen=72 vb=1
BANKPOP t=46810000 word=504aa5458738cc81 acclen=88 vb=1
BANKPOP t=46820000 word=3e3836dfb8b2ac0f acclen=64 vb=1
BANKPOP t=46840000 word=1bf53a7c17999b21 acclen=80 vb=1
BANKPOP t=46860000 word=04aefe3e78af331e acclen=96 vb=1
BANKPOP t=46870000 word=4d4aaa795d84f9a0 acclen=72 vb=1
BANKPOP t=46890000 word=772dd5f7cae5ddd9 acclen=88 vb=1
BANKPOP t=46900000 word=442b0e0e8fd1599d acclen=64 vb=1
BANKPOP t=46920000 word=9881be30d6a534b6 acclen=80 vb=1
BANKPOP t=46940000 word=897b2ac512208bad acclen=96 vb=1
BANKPOP t=46950000 word=f0218d3e9cf033f1 acclen=72 vb=1
BANKPOP t=46970000 word=b9935809af3711ad acclen=88 vb=1
BANKPOP t=46980000 word=5f5856897ec0ff66 acclen=64 vb=1
BANKPOP t=47000000 word=5c4a6a3c120bc1f5 acclen=80 vb=1
BANKPOP t=47020000 word=9128b1ac98d86733 acclen=96 vb=1
BANKPOP t=47030000 word=b423fa75df10e75f acclen=72 vb=1
BANKPOP t=47050000 word=42c118e5feaf5c00 acclen=88 vb=1
BANKPOP t=47060000 word=36b07e0d3f520304 acclen=64 vb=1
BANKPOP t=47080000 word=c1b1b02e2821bd96 acclen=80 vb=1
BANKPOP t=47100000 word=587a83660ff7688a acclen=96 vb=1
BANKPOP t=47110000 word=e2f6d06aa0903145 acclen=72 vb=1
BANKPOP t=47130000 word=02c7483518888cc2 acclen=88 vb=1
BANKPOP t=47140000 word=6b60c55d8acc2e6e acclen=64 vb=1
BANKPOP t=47160000 word=efa2b749f27936bb acclen=80 vb=1
BANKPOP t=47180000 word=0bfe031c4470fe79 acclen=96 vb=1
BANKPOP t=47190000 word=40dcae53da161054 acclen=72 vb=1
BANKPOP t=47210000 word=5a07cd52c9a469cb acclen=88 vb=1
