control_path.v: 1  cshake(L29->L112)
decap.v: 10  uv_addr_0_dec(L332->L341), copy_uv(L332->L653), dec_uv(L332->L654), uv_addr_1_dec(L333->L342)
decrypt.v: 4  done_u_minus_vy(L157->L194), ram_din_rd_o(L168->L191), ram_din_addr_o(L169->L193), ram_din_i(L170->L192)
encap.v: 9  d_out(L247->L283), u_v_int(L248->L316), sel_uv(L326->L562), u_v_reg(L504->L510)
encrypt.v: 27  sel_e(L212->L391), fw_addr(L214->L933), u_out(L338->L377), pm_out(L338->L396)
encrypt_parallel.v: 24  sel_e(L209->L405), fw_addr(L211->L865), pm_out(L335->L413), xor_add_en(L350->L613)
fft_part1.v: 1  gf_out_d1(L61->L136)
fixed_weight.v: 2  sel_ctx(L233->L387), start_red(L508->L561)
fixed_weight_ct.v: 2  sel_ctx(L222->L368), start_red(L492->L570)
fixed_weight_cww.v: 4  n_minus_i(L229->L309), dout_reduced_valid(L241->L322), dout_shake_reduced(L245->L270), count(L272->L306)
hqc_barrett_red.v: 1  t(L37->L76)
hqc_rsdecod_roots.v: 1  fft_done(L44->L47)
keygen.v: 9  pm_out(L191->L396), y_addr(L219->L323), x_addr(L219->L700), pm_rd_en(L343->L398)
mod34.v: 1  t(L15->L38)
reed_muller_encode.v: 4  init(L67->L99), shift_cdw(L70->L100), count_cdw_bytes(L86->L103), wr_en(L93->L101)
reed_solomon_encode.v: 2  init_msg(L75->L126), shift_msg(L78->L127)
state_ram.v: 4  raddr_precalc(L24->L75), addr_offsets_precalc(L25->L76), raddr_high_offset(L26->L78), waddr_array(L27->L79)
vect_set_random.v: 4  pk_rand_addr(L146->L239), rand_mem_in(L151->L167), wr_en_rand(L155->L168), pk_rand_addr_reg(L200->L240)
