26567: 29:41:06(75:55:54) |  00:11:32(00:08:57) |   0.3(  0.2) |   21:18:37 (Aug07) |  23.97 GB | INIT_CLEAN_UP
26569: 72:41:34(78:05:07) |  43:00:27(02:09:13) |  59.0(  2.8) |   23:27:51 (Aug07) |  34.84 GB | 1ST_ST
26571: 73:00:25(78:19:16) |  00:18:51(00:14:09) |   0.4(  0.3) |   23:41:59 (Aug07) |  34.88 GB | INTRMD_CLEAN_UP
26581: 00:06:31(00:06:20) |  00:00:00(00:00:00) |   0.0(  0.0) |   17:29:03 (Aug04) |   7.98 GB | PBS_Generic-Start
26583: 18:27:55(18:19:50) |  18:21:24(18:13:30) |  25.2( 23.3) |   11:42:34 (Aug05) |  54.19 GB | PBS_Generic-Post_Genopt
26585: 26:30:40(25:30:48) |  08:02:45(07:10:58) |  11.0(  9.2) |   18:53:31 (Aug05) |  24.37 GB | PBS_Generic_Opt-Post
26587: 26:35:24(25:35:39) |  00:04:44(00:04:51) |   0.1(  0.1) |   18:58:22 (Aug05) |  17.98 GB | PBS_Generic-Postgen HBO Optimizations
26589: 27:04:51(26:02:42) |  00:29:27(00:27:03) |   0.7(  0.6) |   19:25:26 (Aug05) |  18.75 GB | PBS_TechMap-Start
26591: 27:09:27(26:07:28) |  00:04:36(00:04:46) |   0.1(  0.1) |   19:30:11 (Aug05) |  19.02 GB | PBS_TechMap-Premap HBO Optimizations
26593: 67:57:39(73:43:28) |  40:48:11(47:36:00) |  56.0( 60.9) |   19:06:11 (Aug07) |  69.12 GB | PBS_Techmap-Global Mapping
26595: 69:25:10(75:11:23) |  01:27:31(01:27:55) |   2.0(  1.9) |   20:34:06 (Aug07) |  24.07 GB | PBS_TechMap-Datapath Postmap Operations
26597: 69:30:49(75:15:03) |  00:05:38(00:03:40) |   0.1(  0.1) |   20:37:46 (Aug07) |  24.08 GB | PBS_TechMap-Postmap HBO Optimizations
26599: 69:40:47(75:25:12) |  00:09:58(00:10:09) |   0.2(  0.2) |   20:47:55 (Aug07) |  23.49 GB | PBS_TechMap-Postmap Clock Gating
26601: 69:55:54(75:36:09) |  00:15:06(00:10:57) |   0.3(  0.2) |   20:58:52 (Aug07) |  23.83 GB | PBS_TechMap-Postmap Cleanup
26603: 69:56:14(75:36:29) |  00:00:20(00:00:20) |   0.0(  0.0) |   20:59:12 (Aug07) |  23.69 GB | PBS_Techmap-Post_MBCI
26605: 29:28:55(75:46:18) | -41:32:42(00:09:49) | -55.5(  0.2) |   21:09:01 (Aug07) |  23.65 GB | PBS_Incr_Opt-Start
26607: 29:29:33(75:46:57) |  00:00:38(00:00:39) |   0.0(  0.0) |   21:09:40 (Aug07) |  23.65 GB | PBS_Incr_Opt-Uniquify_Netlist
26609: 29:41:06(75:55:54) |  00:11:32(00:08:57) |   0.3(  0.2) |   21:18:37 (Aug07) |  23.97 GB | INIT_CLEAN_UP
26611: 72:41:34(78:05:07) |  43:00:27(02:09:13) |  59.0(  2.8) |   23:27:51 (Aug07) |  34.84 GB | 1ST_ST
26613: 73:00:25(78:19:16) |  00:18:51(00:14:09) |   0.4(  0.3) |   23:41:59 (Aug07) |  34.88 GB | INTRMD_CLEAN_UP
26615: 73:00:25(78:19:16) |  00:00:00(00:00:00) |   0.0(  0.0) |   23:41:59 (Aug07) |  34.88 GB | CRB_ST
26950: 00:06:31(00:06:20) |  00:00:00(00:00:00) |   0.0(  0.0) |   17:29:03 (Aug04) |   7.98 GB | PBS_Generic-Start
26952: 18:27:55(18:19:50) |  18:21:24(18:13:30) |  25.1( 23.3) |   11:42:34 (Aug05) |  54.19 GB | PBS_Generic-Post_Genopt
26954: 26:30:40(25:30:48) |  08:02:45(07:10:58) |  11.0(  9.2) |   18:53:31 (Aug05) |  24.37 GB | PBS_Generic_Opt-Post
26956: 26:35:24(25:35:39) |  00:04:44(00:04:51) |   0.1(  0.1) |   18:58:22 (Aug05) |  17.98 GB | PBS_Generic-Postgen HBO Optimizations
26958: 27:04:51(26:02:42) |  00:29:27(00:27:03) |   0.7(  0.6) |   19:25:26 (Aug05) |  18.75 GB | PBS_TechMap-Start
26960: 27:09:27(26:07:28) |  00:04:36(00:04:46) |   0.1(  0.1) |   19:30:11 (Aug05) |  19.02 GB | PBS_TechMap-Premap HBO Optimizations
26962: 67:57:39(73:43:28) |  40:48:11(47:36:00) |  55.8( 60.7) |   19:06:11 (Aug07) |  69.12 GB | PBS_Techmap-Global Mapping
26964: 69:25:10(75:11:23) |  01:27:31(01:27:55) |   2.0(  1.9) |   20:34:06 (Aug07) |  24.07 GB | PBS_TechMap-Datapath Postmap Operations
26966: 69:30:49(75:15:03) |  00:05:38(00:03:40) |   0.1(  0.1) |   20:37:46 (Aug07) |  24.08 GB | PBS_TechMap-Postmap HBO Optimizations
26968: 69:40:47(75:25:12) |  00:09:58(00:10:09) |   0.2(  0.2) |   20:47:55 (Aug07) |  23.49 GB | PBS_TechMap-Postmap Clock Gating
26970: 69:55:54(75:36:09) |  00:15:06(00:10:57) |   0.3(  0.2) |   20:58:52 (Aug07) |  23.83 GB | PBS_TechMap-Postmap Cleanup
26972: 69:56:14(75:36:29) |  00:00:20(00:00:20) |   0.0(  0.0) |   20:59:12 (Aug07) |  23.69 GB | PBS_Techmap-Post_MBCI
